year,month,precip_mm
1959,12,201.8
1960,1,116.1
1960,2,95.6
1960,3,83.4
1960,4,74.5
1960,5,69.8
1960,6,71.5
1960,7,144.9
1960,8,119.4
1960,9,119.5
1960,10,140.2
1960,11,167.1
1960,12,126.1
1961,1,156.4
1961,2,93.5
1961,3,21.9
1961,4,135.6
1961,5,52.1
1961,6,48.1
1961,7,81.3
1961,8,71.7
1961,9,123.4
1961,10,118.3
1961,11,76.3
1961,12,89.5
1962,1,127.4
1962,2,47.0
1962,3,89.7
1962,4,64.5
1962,5,77.2
1962,6,46.1
1962,7,70.6
1962,8,112.1
1962,9,145.9
1962,10,52.7
1962,11,80.7
1962,12,102.9
1963,1,29.2
1963,2,67.0
1963,3,142.0
1963,4,77.4
1963,5,69.9
1963,6,70.3
1963,7,70.8
1963,8,103.8
1963,9,66.1
1963,10,129.9
1963,11,170.6
1963,12,52.3
1964,1,43.1
1964,2,64.5
1964,3,130.6
1964,4,72.7
1964,5,79.7
1964,6,82.1
1964,7,72.1
1964,8,110.8
1964,9,75.4
1964,10,109.3
1964,11,71.5
1964,12,142.5
1965,1,139.4
1965,2,9.8
1965,3,95.8
1965,4,81.1
1965,5,82.3
1965,6,104.3
1965,7,86.4
1965,8,93.8
1965,9,96.1
1965,10,68.7
1965,11,161.1
1965,12,159.7
1966,1,116.5
1966,2,173.8
1966,3,57.8
1966,4,143.2
1966,5,87.5
1966,6,104.0
1966,7,51.7
1966,8,80.6
1966,9,83.9
1966,10,146.4
1966,11,72.4
1966,12,121.4
1967,1,84.6
1967,2,109.3
1967,3,64.7
1967,4,37.3
1967,5,132.5
1967,6,29.8
1967,7,83.2
1967,8,97.8
1967,9,134.9
1967,10,171.3
1967,11,80.7
1967,12,74.9
1968,1,121.4
1968,2,38.7
1968,3,76.0
1968,4,73.8
1968,5,64.4
1968,6,66.1
1968,7,37.0
1968,8,77.1
1968,9,144.2
1968,10,129.5
1968,11,125.5
1968,12,150.3
1969,1,174.2
1969,2,59.4
1969,3,52.9
1969,4,65.9
1969,5,94.2
1969,6,68.7
1969,7,45.5
1969,8,54.4
1969,9,45.4
1969,10,51.9
1969,11,110.6
1969,12,116.9
1970,1,127.8
1970,2,114.6
1970,3,57.6
1970,4,89.1
1970,5,32.0
1970,6,50.1
1970,7,91.6
1970,8,76.6
1970,9,110.6
1970,10,81.2
1970,11,165.8
1970,12,56.1
1971,1,102.1
1971,2,59.2
1971,3,58.5
1971,4,55.6
1971,5,53.7
1971,6,79.1
1971,7,66.3
1971,8,90.2
1971,9,41.9
1971,10,85.6
1971,11,96.7
1971,12,55.3
1972,1,144.7
1972,2,100.5
1972,3,90.9
1972,4,75.6
1972,5,113.2
1972,6,71.7
1972,7,59.4
1972,8,54.7
1972,9,16.9
1972,10,66.4
1972,11,134.8
1972,12,128.5
1973,1,100.7
1973,2,77.4
1973,3,33.9
1973,4,48.1
1973,5,99.5
1973,6,37.4
1973,7,68.2
1973,8,104.9
1973,9,109.8
1973,10,68.2
1973,11,122.3
1973,12,108.4
1974,1,205.1
1974,2,108.1
1974,3,51.9
1974,4,37.4
1974,5,95.7
1974,6,40.5
1974,7,88.5
1974,8,98.1
1974,9,166.2
1974,10,55.1
1974,11,98.8
1974,12,91.6
1975,1,162.5
1975,2,49.3
1975,3,49.4
1975,4,61.3
1975,5,26.4
1975,6,20.6
1975,7,70.5
1975,8,48.1
1975,9,134.2
1975,10,118.4
1975,11,89.9
1975,12,41.0
1976,1,109.3
1976,2,56.2
1976,3,95.5
1976,4,28.9
1976,5,96.7
1976,6,50.2
1976,7,74.7
1976,8,12.0
1976,9,116.9
1976,10,178.8
1976,11,89.5
1976,12,102.0
1977,1,104.6
1977,2,174.0
1977,3,108.4
1977,4,72.6
1977,5,28.5
1977,6,58.3
1977,7,45.0
1977,8,94.8
1977,9,68.5
1977,10,165.8
