year,month,nao,date
2000,5,1.58,2000-05-01
2000,6,-0.03,2000-06-01
2000,7,-1.03,2000-07-01
2000,8,-0.29,2000-08-01
2000,9,-0.21,2000-09-01
2000,10,0.92,2000-10-01
2000,11,-0.92,2000-11-01
2000,12,-0.58,2000-12-01
2001,1,0.25,2001-01-01
2001,2,0.45,2001-02-01
2001,3,-1.26,2001-03-01
2001,4,0.0,2001-04-01
2001,5,-0.02,2001-05-01
2001,6,-0.2,2001-06-01
2001,7,-0.25,2001-07-01
2001,8,-0.07,2001-08-01
2001,9,-0.65,2001-09-01
2001,10,-0.24,2001-10-01
2001,11,0.63,2001-11-01
2001,12,-0.83,2001-12-01
2002,1,0.44,2002-01-01
2002,2,1.1,2002-02-01
2002,3,0.69,2002-03-01
2002,4,1.18,2002-04-01
2002,5,-0.22,2002-05-01
2002,6,0.38,2002-06-01
2002,7,0.62,2002-07-01
2002,8,0.38,2002-08-01
2002,9,-0.7,2002-09-01
2002,10,-2.28,2002-10-01
2002,11,-0.18,2002-11-01
2002,12,-0.94,2002-12-01
2003,1,0.16,2003-01-01
2003,2,0.62,2003-02-01
2003,3,0.32,2003-03-01
2003,4,-0.18,2003-04-01
2003,5,0.01,2003-05-01
2003,6,-0.07,2003-06-01
2003,7,0.13,2003-07-01
2003,8,-0.07,2003-08-01
2003,9,0.01,2003-09-01
2003,10,-1.26,2003-10-01
2003,11,0.86,2003-11-01
2003,12,0.64,2003-12-01
2004,1,-0.29,2004-01-01
2004,2,-0.14,2004-02-01
2004,3,1.02,2004-03-01
2004,4,1.15,2004-04-01
2004,5,0.19,2004-05-01
2004,6,-0.89,2004-06-01
2004,7,1.13,2004-07-01
2004,8,-0.48,2004-08-01
2004,9,0.38,2004-09-01
2004,10,-1.1,2004-10-01
2004,11,0.73,2004-11-01
2004,12,1.21,2004-12-01
2005,1,1.52,2005-01-01
2005,2,-0.06,2005-02-01
2005,3,-1.83,2005-03-01
2005,4,-0.3,2005-04-01
2005,5,-1.25,2005-05-01
2005,6,-0.05,2005-06-01
2005,7,-0.51,2005-07-01
2005,8,0.37,2005-08-01
2005,9,0.63,2005-09-01
2005,10,-0.98,2005-10-01
2005,11,-0.31,2005-11-01
2005,12,-0.44,2005-12-01
2006,1,1.27,2006-01-01
2006,2,-0.51,2006-02-01
2006,3,-1.28,2006-03-01
2006,4,1.24,2006-04-01
2006,5,-1.14,2006-05-01
2006,6,0.84,2006-06-01
2006,7,0.9,2006-07-01
2006,8,-1.73,2006-08-01
2006,9,-1.62,2006-09-01
2006,10,-2.24,2006-10-01
2006,11,0.44,2006-11-01
2006,12,1.34,2006-12-01
2007,1,0.22,2007-01-01
2007,2,-0.47,2007-02-01
2007,3,1.44,2007-03-01
2007,4,0.17,2007-04-01
2007,5,0.66,2007-05-01
2007,6,-1.31,2007-06-01
2007,7,-0.58,2007-07-01
2007,8,-0.14,2007-08-01
2007,9,0.72,2007-09-01
2007,10,0.45,2007-10-01
2007,11,0.58,2007-11-01
2007,12,0.34,2007-12-01
2008,1,0.89,2008-01-01
2008,2,0.73,2008-02-01
2008,3,0.08,2008-03-01
2008,4,-1.07,2008-04-01
2008,5,-1.73,2008-05-01
2008,6,-1.39,2008-06-01
2008,7,-1.27,2008-07-01
2008,8,-1.16,2008-08-01
2008,9,1.02,2008-09-01
2008,10,-0.04,2008-10-01
2008,11,-0.32,2008-11-01
2008,12,-0.28,2008-12-01
2009,1,-0.01,2009-01-01
2009,2,0.06,2009-02-01
2009,3,0.57,2009-03-01
2009,4,-0.2,2009-04-01
2009,5,1.68,2009-05-01
2009,6,-1.21,2009-06-01
2009,7,-2.15,2009-07-01
2009,8,-0.19,2009-08-01
2009,9,1.51,2009-09-01
2009,10,-1.03,2009-10-01
2009,11,-0.02,2009-11-01
2009,12,-1.93,2009-12-01
2010,1,-1.11,2010-01-01
2010,2,-1.98,2010-02-01
2010,3,-0.88,2010-03-01
2010,4,-0.72,2010-04-01
2010,5,-1.49,2010-05-01
2010,6,-0.82,2010-06-01
2010,7,-0.42,2010-07-01
2010,8,-1.22,2010-08-01
2010,9,-0.79,2010-09-01
2010,10,-0.93,2010-10-01
2010,11,-1.62,2010-11-01
2010,12,-1.85,2010-12-01
2011,1,-0.88,2011-01-01
2011,2,0.7,2011-02-01
2011,3,0.61,2011-03-01
2011,4,2.48,2011-04-01
2011,5,-0.06,2011-05-01
2011,6,-1.28,2011-06-01
2011,7,-1.51,2011-07-01
2011,8,-1.35,2011-08-01
2011,9,0.54,2011-09-01
2011,10,0.39,2011-10-01
2011,11,1.36,2011-11-01
2011,12,2.52,2011-12-01
2012,1,1.17,2012-01-01
2012,2,0.42,2012-02-01
2012,3,1.27,2012-03-01
2012,4,0.47,2012-04-01
2012,5,-0.91,2012-05-01
2012,6,-2.53,2012-06-01
2012,7,-1.32,2012-07-01
2012,8,-0.98,2012-08-01
2012,9,-0.59,2012-09-01
2012,10,-2.06,2012-10-01
2012,11,-0.58,2012-11-01
2012,12,0.17,2012-12-01
2013,1,0.35,2013-01-01
2013,2,-0.45,2013-02-01
2013,3,-1.61,2013-03-01
2013,4,0.69,2013-04-01
2013,5,0.57,2013-05-01
2013,6,0.52,2013-06-01
2013,7,0.67,2013-07-01
